das; refchan; refstrm; netcode; station; location; channel; samplerate; gain; implement_time
9690; 1; 1; XX; bc9; ; HHZ; 100; 1; 2016-06-23T16:55:40.000000Z
9690; 2; 1; XX; bc9; ; HH1; 100; 1; 2016-06-23T16:55:40.000000Z
9690; 3; 1; XX; bc9; ; HH2; 100; 1; 2016-06-23T16:55:40.000000Z
9690; 1; 2; XX; bc9; ; HHZ; 100; 1; 2016-06-23T16:55:40.000000Z
9690; 2; 2; XX; bc9; ; HH1; 100; 1; 2016-06-23T16:55:40.000000Z
9690; 3; 2; XX; bc9; ; HH2; 100; 1; 2016-06-23T16:55:40.000000Z
9690; 1; 3; XX; bc9; ; HHZ; 100; 1; 2016-06-23T16:55:40.000000Z
9690; 2; 3; XX; bc9; ; HH1; 100; 1; 2016-06-23T16:55:40.000000Z
9690; 3; 3; XX; bc9; ; HH2; 100; 1; 2016-06-23T16:55:40.000000Z
